nim,nama,password,email,status_akun,tanggal_daftar
G1A023001,Vina Kusuma,Vinaku13#z,vinakusuma@gmail.com,aktif,2023-10-14 08:24:33
G1A023002,Dian Ananda,Dianan79!9,dianananda@gmail.com,aktif,2023-02-06 17:18:10
G1A023003,Gita Wicaksono,Gitawi74!z,gitawicaksono@gmail.com,aktif,2023-09-30 16:49:21
G1A023004,Salsa Putra,Salsap38$Q,salsaputra@gmail.com,ditunda,2023-01-03 20:34:22
G1A023005,Rian Permata,Rianpe99$Q,rianpermata@gmail.com,aktif,2023-03-25 22:52:10
G1A023006,Hesi Desta Lestari,Heside53!X,hesidestalestari@gmail.com,aktif,2023-05-20 17:55:49
G1A023007,Bima Hidayat,Bimahi87#X,bimahidayat@gmail.com,aktif,2023-07-28 14:00:29
G1A023008,Dian Rizky,Dianri20#Q,dianrizky@gmail.com,aktif,2023-10-01 23:05:07
G1A023009,Cahya Saputra,Cahyas94@Q,cahyasaputra@gmail.com,diblokir,2023-04-01 17:46:05
G1A023010,Bima Kusuma,Bimaku58#9,bimakusuma@gmail.com,aktif,2023-05-23 00:28:56
G1A023011,Fajar Hidayat,Fajarh55@Q,fajarhidayat@gmail.com,aktif,2023-09-23 19:07:33
G1A023012,Vina Wijaya,Vinawi87@z,vinawijaya@gmail.com,aktif,2023-05-28 16:46:51
G1A023013,Indra Kirana,Indrak98@Q,indrakirana@gmail.com,ditunda,2023-01-23 01:22:46
G1A023014,Intan Oktaviani Presia,Intano39!Q,intanoktavianipresia@gmail.com,aktif,2023-01-27 00:55:21
G1A023015,Gita Fadilah,Gitafa50@9,gitafadilah@gmail.com,aktif,2023-09-07 23:48:49
G1A023016,Okti Sari,Oktisa43@z,oktisari@gmail.com,aktif,2023-07-29 15:37:56
G1A023017,Indra Mahendra,Indram84$9,indramahendra@gmail.com,aktif,2023-02-24 01:20:43
G1A023018,Raihan Fauzi,Raihan21!X,raihanfauzi@gmail.com,aktif,2023-03-04 11:08:25
G1A023019,Sinta Ananda,Sintaa64!9,sintaananda@gmail.com,aktif,2023-07-02 02:32:28
G1A023020,Raihan Hernanda,Raihan80!X,raihanhernanda@gmail.com,aktif,2023-07-28 20:55:34
G1A023021,Rian Hernanda,Rianhe92#X,rianhernanda@gmail.com,aktif,2023-03-03 18:08:13
G1A023022,Okti Pratama,Oktipr43@X,oktipratama@gmail.com,ditunda,2023-04-27 05:42:25
G1A023023,Agung Kirana,Agungk74@z,agungkirana@gmail.com,aktif,2023-03-05 01:44:46
G1A023024,Salsa Irwansyah,Salsai77!Q,salsairwansyah@gmail.com,aktif,2023-02-13 18:40:57
G1A023025,Della Hidayat,Dellah49@X,dellahidayat@gmail.com,aktif,2025-08-09 16:08:59
G1A023026,Cahya Wijaya,Cahyaw72!z,cahyawijaya@gmail.com,aktif,2023-07-04 21:57:10
G1A023027,Salsa Permata,Salsap43$z,salsapermata@gmail.com,diblokir,2023-10-11 19:27:02
G1A023028,Yudha Aulia,Yudhaa49$Q,yudhaaulia@gmail.com,aktif,2023-07-21 08:09:23
G1A023029,Okti Kusuma,Oktiku41@X,oktikusuma@gmail.com,aktif,2023-08-17 19:26:04
G1A023030,Salsa Wicaksono,Salsaw85@X,salsawicaksono@gmail.com,aktif,2023-09-03 10:18:21
G1A023031,Bayu Wicaksono,Bayuwi18!Q,bayuwicaksono@gmail.com,aktif,2023-04-03 18:21:50
G1A023032,Indra Ananda,Indraa72@z,indraananda@gmail.com,aktif,2023-08-11 02:30:26
G1A023033,Tika Fauzi,Tikafa41$9,tikafauzi@gmail.com,aktif,2023-02-07 23:27:38
G1A023034,Wulan Putra,Wulanp55$9,wulanputra@gmail.com,aktif,2023-10-11 11:28:46
G1A023035,Bayu Ananda,Bayuan93!X,bayuananda@gmail.com,aktif,2023-05-13 02:31:46
G1A023036,Sinta Kusuma,Sintak41@z,sintakusuma@gmail.com,aktif,2023-02-24 18:35:37
G1A023037,Nadia Permata,Nadiap45$z,nadiapermata@gmail.com,ditunda,2023-01-30 14:38:17
G1A023038,Okti Nur,Oktinu22!X,oktinur@gmail.com,diblokir,2023-04-03 03:12:59
G1A023039,Fajar Putra,Fajarp72$z,fajarputra@gmail.com,ditunda,2023-01-24 02:31:17
G1A023040,Fajar Rizky,Fajarr10$Q,fajarrizky@gmail.com,diblokir,2023-06-27 00:59:07
G1A023041,Joko Putra,Jokopu99$z,jokoputra@gmail.com,aktif,2023-03-26 21:07:09
G1A023042,Bayu Fadilah,Bayufa79!Q,bayufadilah@gmail.com,aktif,2023-08-16 04:55:47
G1A023043,Putri Amelia,Putria77@X,putriamelia@gmail.com,diblokir,2023-02-01 10:41:34
G1A023044,Bima Permata,Bimape18!z,bimapermata@gmail.com,aktif,2023-08-10 13:45:34
G1A023045,Hana Fadilah,Hanafa86!X,hanafadilah@gmail.com,aktif,2023-08-16 00:13:12
G1A023046,Tika Amelia,Tikaam50#z,tikaamelia@gmail.com,aktif,2023-05-03 08:24:21
G1A023047,Hana Hernanda,Hanahe60@Q,hanahernanda@gmail.com,aktif,2023-10-20 07:53:05
G1A023048,Della Wijaya,Dellaw11$X,dellawijaya@gmail.com,aktif,2023-03-25 02:44:31
G1A023049,Raihan Hernanda,Raihan26#X,raihanhernanda1@gmail.com,ditunda,2023-05-24 20:14:31
G1A023050,Joko Permata,Jokope66#X,jokopermata@gmail.com,aktif,2023-08-04 17:16:04
G1A023051,Joko Ananda,Jokoan23@Q,jokoananda@gmail.com,aktif,2023-02-11 21:38:51
G1A023052,Zara Nur,Zaranu29#Q,zaranur@gmail.com,aktif,2023-10-07 00:37:49
G1A023053,Kirana Aulia,Kirana97#9,kiranaaulia@gmail.com,aktif,2023-01-21 01:28:48
G1A023054,Cahya Kirana,Cahyak64#X,cahyakirana@gmail.com,aktif,2023-02-21 03:19:39
G1A023055,Vina Hernanda,Vinahe30$9,vinahernanda@gmail.com,aktif,2023-02-13 18:44:24
G1A023056,Cahya Febriyanti,Cahyaf29!Q,cahyafebriyanti@gmail.com,aktif,2023-02-27 20:20:02
